class,elements,total_time,threads,write_level
SynchronizedRandomAccessList,200,493416662,7,4
SynchronizedRandomAccessList,200,705740114,10,4
CopyOnWriteArrayList,200,811354701,1,4
CopyOnWriteArrayList,200,3777256440,4,4
CopyOnWriteArrayList,200,6941482396,7,4
CopyOnWriteArrayList,200,9792306017,10,4
ConcurrentHashMap,250,9047071,1,4
ConcurrentHashMap,250,4338894,4,4
ConcurrentHashMap,250,1577338,7,4
ConcurrentHashMap,250,1700524,10,4
SynchronizedMap,250,226485,1,4
SynchronizedMap,250,1064649,4,4
SynchronizedMap,250,1826114,7,4
SynchronizedMap,250,2251970,10,4
SynchronizedRandomAccessList,250,84030368,1,4
SynchronizedRandomAccessList,250,352774146,4,4
SynchronizedRandomAccessList,250,624395427,7,4
SynchronizedRandomAccessList,250,894708499,10,4
CopyOnWriteArrayList,250,1249835424,1,4
CopyOnWriteArrayList,250,4978911708,4,4
CopyOnWriteArrayList,250,8899580035,7,4
CopyOnWriteArrayList,250,15090923808,10,4
ConcurrentHashMap,300,3086653,1,4
ConcurrentHashMap,300,23984421,4,4
ConcurrentHashMap,300,4072859,7,4
ConcurrentHashMap,300,3203290,10,4
SynchronizedMap,300,315885,1,4
SynchronizedMap,300,1359810,4,4
SynchronizedMap,300,1988645,7,4
SynchronizedMap,300,2563760,10,4
SynchronizedRandomAccessList,300,176309571,1,4
SynchronizedRandomAccessList,300,502790506,4,4
SynchronizedRandomAccessList,300,805917213,7,4
SynchronizedRandomAccessList,300,1177234760,10,4
CopyOnWriteArrayList,300,1476497057,1,4
CopyOnWriteArrayList,300,6691406257,4,4
CopyOnWriteArrayList,300,10829057399,7,4
CopyOnWriteArrayList,300,15506019206,10,4
ConcurrentHashMap,350,5869720,1,4
ConcurrentHashMap,350,11070717,4,4
ConcurrentHashMap,350,1717121,7,4
ConcurrentHashMap,350,2192985,10,4
SynchronizedMap,350,403223,1,4
SynchronizedMap,350,1273041,4,4
SynchronizedMap,350,2218344,7,4
SynchronizedMap,350,2864039,10,4
SynchronizedRandomAccessList,350,131699194,1,4
SynchronizedRandomAccessList,350,545435863,4,4
SynchronizedRandomAccessList,350,975276696,7,4
